# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
दूगड़	dugad
दूज	duj
दूत	doot
दूतावास	doothavaas
दूतावासों	dutavashon
दूतों	duton
दूदू	dudoo
दूध	dudh
दूधनाथ	doodhnath
दूधी	dudhi
दून	dun
दूना	duna
दूभर	dubhar
दूर	dur
दूरगामी	durgaami
दूरदराज	doordaraj
दूरदर्शिता	doordarshita
दूरदर्शी	durdarshi
दूरदृष्टा	doordristha
दूरबीन	durbin
दूरबीनों	doorbinon
दूरभाष	doorbhaash
दूरसंचार	doorsanchaar
दूरस्थ	durasth
दूरियों	duriyon
दूरी	duri
दूर्गा	durga
दूल्हे	dulhe
दूषित	dushit
दूसरा	dusra
दूसरे	dusre
दूसरों	dusron
दृग	drag
दृश्य	drishya
दृश्यता	drashyata
दृश्यमान	drishyamaan
दृश्यश्रव्य	drashyashravya
दृश्यों	drishyon
दृष्ट	drisht
दृष्टया	drishtya
दृष्टांत	drishtaant
दृष्टि	drishti
दृष्टिकोण	drishtikon
दृष्टिकोणों	drashtikonon
दृष्टिगत	drishtigat
दृष्टिगोचर	drishtigochar
दृष्टियों	drashtiyon
दृष्टी	drashti
दे	de
दें	den
देंगे	denge
देओल	deol
देकर	dekar
देख	dekh
देखकर	dekhkar
देखता	dekhta
देखती	dekhti
देखते	dekhte
देखना	dekhna
देखने	dekhne
देखनेवाले	dekhnevale
देखरेख	dekhrekh
देखा	dekha
देखिए	dekhiae
देखी	dekhi
देखे	dekhe
देखें	dekhen
देखेंगे	dekhenge
देखो	dekho
देगा	dega
देगी	degi
देता	deta
देती	deti
देन	den
देनदारियां	dendaariyaan
देनदारी	dendaari
देना	dena
देनी	deni
देने	dene
देनेवाला	denevala
देनेवाले	denevale
देबू	debu
देय	dey
देयता	deyata
देयर	deyar
देर	der
देरी	deri
देवकली	devkali
देवकी	devki
देवकीनंदन	devkinandan
देवकुमार	devkumar
देवकोटा	devkota
देवगढ़	devgadh
देवगन	devgan
देवघर	deoghar
देवता	devta
देवताओं	devtaon
देवतागण	devtagan
देवताले	devtale
देवत्व	devatv
देवदत्त	devadatt
देवदास	devdas
देवदासी	devadasi
देवन	devan
देवनागरी	devanagari
देवबंद	devband
देवयानी	devyani
देवर	devar
देवरस	devras
देवराज	devraj
देवरानी	devrani
देवरिया	devriya
देवर्षि	devarshi
देवल	deval
देवलिया	devliya
देवशयन	devshayan
देवसेना	devsena
देवस्थल	devsthal
देवा	devaa
देवांश	devaansh
देवानंद	devanand
देवानंदपुर	devanandpur
देवानी	devaani
देवाराम	devaram
देवालय	devaalay
देवालयों	devalayon
देवास	dewas
देवासुर	devasur
देविका	devika
देवियां	deviyaan
देवियों	deviyon
देवीगढ़	devigadh
देवीदेवताओं	devidevataaon
देवू	devu
देवेगौड़ा	devegauda
देवेन	deven
देवों	devon
देश	desh
देशज	deshaj
देशद्रोह	deshdroh
देशद्रोहियों	deshdrohiyon
देशना	deshna
देशपांडे	deshpande
देशप्रेम	deshprem
देशबंधु	deshbandhu
देशभक्त	deshbhakt
देशभक्ति	deshbhakti
देशभक्तिपूर्ण	deshbhaktipooran
देशभक्तों	deshbhakton
देशभर	deshbhar
देशमुख	deshmukh
देशरत्न	deshratna
देशराज	deshraj
देशवासियों	deshvaasiyon
देशवासी	deshvaasi
देशविदेश	deshvidesh
देशव्यापी	deshvyapi
देशांतर	deshantar
देशीकरण	deshikaran
देशों	deshon
देसी	desi
देह	deh
देहरादून	dehradun
देहांत	dehant
देहाती	dehati
देहावसान	dehavasan
दैट	that
दैत्य	daity
दैत्याकार	daityaakaar
दैत्यों	daityon
दैनिक	dainik
दैर	dair
दैव	daiv
दैवी	daivi
दैवीय	daiviy
दैहिक	daihik
दो	do
दोगले	dogale
दोगुना	doguna
दोगुनी	doguni
दोदो	dodo
दोपहर	dopahar
दोबारा	dobara
दोमट	domat
दोरजी	dorji
दोराई	dorai
दोराहे	dorahe
दोष	dosh
दोषी	doshi
दोषों	doshon
दोस्त	dost
दोस्तपुर	dostpur
दोस्ताना	dostana
दोस्ती	dosti
दोस्तों	doston
दोहरा	dohara
दोहराएं	dohraen
दोहराते	dohrate
दोहराया	dohraya
दोहराव	dohrav
दोहरी	dohari
दोहरे	dohre
दोहा	doha
दोहे	dohe
दोहों	dohon
दौड़ता	daudta
दौड़ते	daudte
दौड़ने	daudne
दौड़ें	dauden
दौर	daur
दौरा	daura
दौरान	dauran
दौरे	daure
दौरों	dauron
दौलतपुर	daulatpur
दौला	daula
दौसा	dausa
दौहित्र	dauhitr
द्बारा	dbaara
द्रमुक	dramuk
द्रव	drav
द्रविड़	dravid
द्रव्य	dravy
द्रव्यमान	dravyaman
द्रव्यों	dravyon
द्रास	dras
द्रुत	drut
द्रुपद	drupad
द्रोण	dron
द्रोणागिरी	dronagiri
द्रोणाचार्य	dronaacharya
द्रौपदी	draupadi
द्वंद्व	dvanadv
द्वंद्वों	dvanadvon
द्वापर	dwapar
द्वार	dwar
द्वारका	dwarka
द्वारकापीठ	dwarkapeeth
द्वारचार	dwarchar
द्वारा	dwara
द्वारों	dwaron
द्विज	davij
द्वितीय	dwitiya
द्वितीयक	dwitiyak
द्वितीया	dvitiya
द्वितीयेश	davitiyesh
द्विपक्षीय	davipakshiy
द्विभाषी	dvibhashi
द्विभाषीय	davibhashiy
द्विवर्षीय	dvivarshiya
द्विस्तरीय	dvistariya
द्विस्वभाव	davisvbhav
द्वीप	dweep
द्वीपसमूह	dweepsamuh
द्वीपीय	dvipiya
द्वीपों	dweepon
द्वेष	dvesh
द्वैत	dvait
द्वैपायन	dvaipaayan
द्वैमासिक	dvaimaasik
धंसा	dhansa
धंसी	dhansi
धंसे	dhanse
धकेल	dhakel
धकेलता	dhakelta
धकेलना	dhakelna
धकेलने	dhakelne
धकेले	dhakele
धक्का	dhakka
धज्जियां	dhajjiyan
धड़	dhad
धड़क	dhadak
धड़कन	dhadkan
धड़कनें	dhadaknein
धड़ल्ले	dhadalle
धतूरा	dhatura
धधकने	dhadhkane
धन	dhan
धनंजय	dhananjay
धनतेरस	dhanteras
धनपाल	dhanpal
धनबल	dhanbal
धनबाद	dhanbad
धनराज	dhanraj
धनराशि	dhanrashi
धनवान	dhanvaan
धनवार	dhanwar
धनाढ्य	dhanaadhy
धनात्मक	dhanatmak
धनिया	dhaniya
धनु	dhanu
धनुर्विद्या	dhanurvidya
धनुष	dhanush
धनुषबाण	dhanushbaan
धनुषा	dhanusha
धनेश	dhanesh
धनौली	dhanauli
धन्नो	dhanno
धन्य	dhanya
धन्यवाद	dhanyavad
धब्बा	dhabba
धब्बेदार	dhabbedaar
धब्बों	dhabbon
धम	dham
धमकाकर	dhamkakar
धमकाना	dhamkana
धमकाने	dhamkaane
धमकाया	dhamkaya
धमकी	dhamki
धमधा	dhamdhaa
धमन	dhaman
धमनियां	dhamniyan
धमनियों	dhamniyon
धमनी	dhamni
धमाका	dhamaka
धमाके	dhamake
धमाकेदार	dhamakedar
धमाकों	dhamaakon
धमारा	dhamaara
धम्मपद	dhammpad
धर	dhar
धरकर	dharkar
धरना	dharna
धरपकड़	dharpakad
धरमपुरी	dharampuri
धरयो	dharyo
धरहरा	dharhara
धरा	dhara
धरातल	dharatal
धरातलीय	dharataliy
धरान	dharaan
धरोहर	dharohar
धरोहरों	dharoharon
धर्म	dharm
धर्मगुरु	dharmguru
धर्मनिरपेक्ष	dharmnirpeksh
धर्मनिरपेक्षता	dharmnirpekshata
धर्मपरिवर्तन	dharmparivartan
धर्मपाल	dharmpal
धर्मपुरी	dharmpuri
धर्मयुद्ध	dharmyuddh
धर्मवीर	dharmveer
धर्मशाला	dharmshala
धर्मशास्त्र	dharmshastra
धर्मशास्त्रों	dharmshastron
धर्मसंघ	dharmsangh
धर्मांतरण	dharmantaran
धर्माधिकारियों	dharmadhikarion
धर्माधिकारी	dharmadhikari
धर्मारण्य	dharmarany
धर्मार्थ	dharmarth
धर्मावलंबी	dharmaavalambi
धर्मों	dharmon
धर्मोपदेश	dharmopadesh
धवन	dhawan
धागे	dhaage
धागों	dhaagon
धातु	dhaatu
धातुओं	dhaatuon
धातुकर्म	dhaatukarm
धातृ	dhaatr
धान	dhaan
धानी	dhaani
धाबी	dhaabi
धाम	dhaam
धामनोद	dhaamnod
धार	dhar
धारण	dhaarann
धारणा	dharna
धारणाएं	dhaaranaayein
धारणाओं	dharnaon
धारदार	dhardar
धारा	dhara
धाराएं	dhaarayein
धाराओं	dharaon
धाराप्रवाह	dhaaraapravaaha
धारावाहिक	dharavahik
धारावाहिकों	dharavahikon
धारियां	dhaariyaan
धारियों	dhariyon
धारीदार	dharidar
धारों	dharon
धार्मिक	dharmik
धार्मिकता	dharmikta
धालीवाल	dhaliwal
धावक	dhavak
धावा	dhava
धावे	dhave
धी	dhi
धीमा	dheema
धीमापन	dhimapan
धीमी	dhimi
धीमे	dhime
धीर	dheer
धीरज	dheeraj
धीरे	dheere
धीरेधीरे	dheeredheere
धुंआ	dhunaa
धुंध	dhundh
धुंधला	dhundhala
धुंधली	dhundhali
धुंधले	dhundhale
धुएं	dhuae
धुत्त	dhutt
धुन	dhun
धुने	dhune
धुनों	dhunon
धुप	dhup
धुर	dhur
धुरी	dhuri
धुल	dhul
धुलने	dhulne
धुलाई	dhulai
धु्रव	dhruv
धूणी	dhuni
धूप	dhup
धूम	dhoom
धूमकेतु	dhumketu
धूमकेतू	dhumketu
धूमधाम	dhumdham
धूमावती	dhumawati
धूमिल	dhumil
धूम्रपान	dhumrapan
धूर्तता	dhurtata
धूल	dhul
धूलि	dhuli
धूसर	dhusar
धृतराष्ट्र	dhritrashtra
धृष्टद्युम्न	dhrishtadyumna
धैर्य	dhairy
धैर्यपूर्वक	dhairyapoorvak
धो	dho
धोकर	dhokar
धोखा	dhokha
धोखाधड़ी	dhokhadhadi
धोखाधडी	dhokhadhadi
धोखे	dhokhe
धोखेबाजी	dhokhebaji
धोती	dhoti
धोत्रे	dhotre
धोद	dhod
धोनी	dhoni
धोने	dhone
धोबी	dhobi
धोया	dhoya
धोरे	dhore
धोलका	dholka
धोला	dhola
धौम्य	dhaumy
धौरहरा	daurhara
धौलपुर	dhaulpur
धौला	dhaula
ध्यातव्य	dhyaatavya
ध्यान	dhyan
ध्यानपूर्वक	dhyanpurvak
ध्रुव	dhruv
ध्रुवीकरण	dhruvikaran
ध्रुवीकृत	dhruvikrit
ध्रुवीय	dhruveeya
ध्रुवों	dhruvon
ध्वंस	dhvans
ध्वज	dhwaj
ध्वजा	dhvja
ध्वजारोहण	dhvajarohan
ध्वजों	dhvajon
ध्वनि	dhvani
ध्वनिक	dhvanik
ध्वनित	dhvanit
ध्वनियों	dhvaniyon
ध्वनी	dhvani
ध्वस्त	dhvast
नं	nan
नंगरहार	nangarhar
नंगा	nanga
नंगी	nangi
नंद	nand
नंददास	nanddas
नंदन	nandan
नंदप्रयाग	nandprayag
नंदा	nanda
नंदिनी	nandini
नंदी	nandi
नंदीता	nandita
नंदीश्वर	nandishwar
नंबर	number
नंबरी	nambari
नंबरों	numbaron
नंबर्स	numbers
नई	nai
नए	naye
नकद	nakad
नकदी	nakdi
नकल	nakal
नकलची	nakalchi
नकली	nakali
नकसीर	naksir
नकार	nakaar
नकारती	nakaarati
नकारात्मक	nakaaraatmak
नकारात्मकता	nakaaraatmakataa
नकुल	nakul
नक्काशी	nakkaashi
नक्काशीदार	nakkaashidaar
नक्त	nakta
नक्श	naksh
नक्शबंदी	nakshabandi
नक्शा	nakshaa
नक्शे	nakshe
नक्शों	nakshon
नक्षत्र	nakshatra
नक्षत्रों	nakshatron
नख	nakh
नखत	nakhat
नगण्य	naganya
नगदी	nagadi
नगमा	nagma
नगर	nagar
नगरकोट	nagarkot
नगरपंचायत	nagarpanchayat
नगरपालिका	nagarpalika
नगरवासियों	nagarvaasiyon
नगरियों	nagriyon
नगरी	nagari
नगरीकरण	nagarikaran
नगरीय	nagareeya
नगरों	nagron
नगला	nagla
नगालैंड	nagaland
नगेट्स	nuggets
नग्न	nagn
नचना	nachna
नचाता	nachaata
नचिकेत	nachiket
नचिकेता	nachiketa
नजद	najad
नजदीक	najdeek
नजदीकी	nazdiki
नजम	najam
नजमा	najma
नजरअंदाज	najarandaaz
नजरिया	najariya
नजरूल	najrool
नज़दीक	nazdeek
नज़दीकी	najdiki
नज़र	nazar
नज़रंदाज़	najarandaaj
नज़रबंद	nazarband
नज़रिए	nazariye
नज़रिया	najriya
नज़ारा	najaara
नज़ारे	najaare
नज़्म	nazm
नजारा	najara
नज्मों	najmon
नट	nut
नटरंग	natrang
नटराज	natraj
नटराजन	natrajan
नटाल	nataal
नट्टू	nattu
नडेला	nadela
नताली	natali
नताशा	natasha
नतीजतन	natijatan
नतीजा	natija
नतीजे	natije
नतीजों	natijon
नथ	nath
नथमल	nathmal
नथुनी	nathuni
नदियां	nadiyan
नदियों	nadiyon
नदी	nadi
नन	none
ननिहाल	nanihaal
नन्हीं	nanhi
नन्हे	nanhe
नपे	nape
नफरत	nafrat
नफरी	nafri
नफ़रत	nafrat
नफा	nafa
नफीस	nafees
नफे	nafe
नबरंगपुर	nabarangpur
नबाब	nabab
नबाम	nabam
नबी	nabi
नबीनगर	nabinagar
नब्बे	nabbe
नम	nam
नमक	namak
नमकयुक्त	namakyukt
नमक्कल	namakkal
नमन	naman
नमर्दा	namarda
नमस्कार	namaskar
नमस्तस्यै	namastasyai
नमस्ते	namaste
नमाज	namaj
नमाज़	namaz
नमामि	namami
नमी	nami
नमीयुक्त	namiyukt
नमूना	namuna
नमूने	namune
नमूनों	namunon
नमो	namo
नम्र	namn
नम्रता	namrata
नयन	nayan
नयनतारा	nayantara
नया	naya
नय्यर	nayyar
नर	nar
नरवर	narvar
नरसिंह	narasimha
नरसिंहगढ़	narsinghgarh
नरसिंहपुर	narasimhapua
नरीमन	nariman
नरुला	narula
नरेंद्र	narendra
नरेला	narela
नर्क	nark
नर्तक	nartak
नर्तकियों	nartakiyon
नर्तकी	nartaki
नर्तकों	nartakon
नर्तन	nartan
नर्म	narm
नर्मदा	narmada
नर्स	nurse
नर्सरी	nursery
नर्सिंग	narsing
नल	nal
नलकूप	nalcoop
नलकूपों	nalkupon
नलखेड़ा	nalkheda
नलगोंडा	nalgonda
नलवा	nalwa
नलिका	nalika
नलिकाओं	naleekaon
नलिन	nalin
नलिनी	nalini
नलियों	naliyon
नली	nali
नलों	nalon
नव	nav
नवगछिया	naugachia
नवगठित	navgathit
नवगीत	navgeet
नवग्रह	navgrah
नवचेतना	navchetana
नवजात	navjaat
नवजीवन	navjeevan
नवदुर्गा	navdurga
नवदुर्गाओं	navdurgaaon
नवद्वीप	nabadwip
नवनियुक्त	navniyukt
नवनिर्मित	navnirmit
नवनी	navni
नवनीत	navneet
नवप्रवर्तन	navpravartan
नवभारत	navbharat
नवम	navam
नवमी	navmi
नवयुग	navyug
नवयुवक	navyuvak
नवयुवकों	navyuvakon
नवरंग	navrang
नवरंगपुरा	navrangpura
नवरत्न	navratan
नवरात्र	navratra
नवरात्रि	navratri
नवल	naval
नववर्ष	navvarsh
नवसाक्षर	navsakshar
नवांकुर	navankur
नवागंतुक	navaagantuk
नवागत	navagat
नवाचार	navachar
नवाज	nawaj
नवाजा	navaja
नवादा	navada
नवाफ	navaf
नवाब	navab
नवाबी	navabi
नवाबों	nawabon
नवासी	navasi
नवासे	navase
नवी	navi
नवीकरण	navikaran
नवीकरणीय	navikaraniya
नवीन	naveen
नवीनतम	naveenatam
नवीनता	naveenta
नवीनीकरण	navinikaran
नवीनीकृत	naveenikrat
नवोदय	navodaya
नवोदित	navodit
नशा	nasha
नशीन	nashin
नशीला	nashila
नशीली	nashili
नशीले	nashile
नशे	nashe
नश्वर	nashwar
नस	nas
नसल	nasal
नसीब	naseeb
नसीर	nasir
नसीराबाद	nasirabad
नसें	nasen
नसों	nason
नस्ल	nasl
नस्लवाद	naslvad
नस्लवादी	naslwadi
नस्लीय	nasleey
नस्लों	naslon
नहर	nahar
नहरें	naharen
नहरों	nahron
नहलाते	nahlate
नहा	naha
नहाकर	nahakar
नहान	nahan
नहाने	nahane
नहीं	nahin
नहुष	nahush
ना	na
नांगिया	naangiya
नांबियार	naambiyar
नाइंसाफी	nainsafi
नाइजर	niger
नाइजीरिया	nigeria
नाइट	night
नाइटेंगल	nightingale
नाइट्राइट	nitrite
नाइट्रिक	nitric
नाइट्रेट	nitrate
नाइट्रो	nitro
नाइट्रोजन	nitrogen
नाइट्स	nights
नाइन	nine
नाई	naai
नाईक	nike
नाईट	night
नाईट्रोजन	nitrogen
नाईट्स	nights
नाउ	now
नाक	naak
नाकाबंदी	naakabandi
नाकामयाब	nakamyab
नाकामियाब	nakamiyab
नाकेबंदी	nakebandi
नाकों	nakon
नाखुश	nakhush
नाखून	nakhun
नाखूनों	naakhunon
नाग	naag
नागकेसर	nagkesar
नागदेव	nagdev
नागपाश	nagpash
नागपुर	nagpur
नागभूषण	nagbhushan
नागर	nagar
नागरमोथा	nagarmotha
नागराज	nagraj
नागरिक	nagrik
नागरिकता	nagarikata
नागरिकों	nagrikon
नागरी	nagari
नागा	naga
नागार्जुन	nagarjun
नागालैंड	nagaland
नागासाकी	nagasaki
नागी	nagi
नागेंद्र	nagendra
नागो	naago
नागों	nagon
नागोर	nagor
नाच	nach
नाचते	naachte
नाचना	naachana
नाचने	naachane
नाज	naaj
नाज़ियों	naaziyon
नाज़ी	naazi
नाजिर	najir
नाजी	naji
नाजुक	najuk
नाटक	natak
नाटककार	natakkar
नाटककारों	natakkaron
नाटकीय	naatkiy
नाटकों	natakon
नाटा	nata
नाटाणी	natani
नाटो	nato
नाट्य	natya
नाट्यम	natyam
नाट्यशाला	natyashala
नाट्यशास्त्र	natyashastra
नाड़ियों	nadiyon
नाडार	nadar
नाडिया	nadiya
नाडियाडवाला	nadiyadvala
नाडी	nadi
नाडु	nadu
नाडोल	nadol
नाता	naata
नातिन	naatin
नाथ	nath
नाथद्वारा	nathdwara
नाथनगर	nathnagar
नाथु	nathu
नाथूराम	nathuram
नाथों	nathon
नाद	naad
नादिया	nadiya
नादिर	nadir
नादिरशाह	nadirshah
नादिरा	nadira
नान	naan
नाना	nana
नानाजी	nanaji
नानालाल	nanalal
नानावटी	nanavati
नानी	nani
नानू	nanu
नाप	naap
नापकर	naapkar
नापजोख	napjokh
नापते	napate
नापसंद	napasand
नापी	napi
नाबाद	nabad
नाबार्ड	nabard
नाभ	nabh
नाभिकीय	nabhikiy
नामक	namak
नामचीन	naamcheen
नामदेव	namdev
नामवर	namvar
नामांकित	namankit
नामित	namit
नामिबिया	namibia
नामी	naami
नामीबिया	namibia
नायकत्व	nayakatva
नायडू	naidoo
नायपॉल	naipaul
नायर	nayar
नायिका	nayika
नायिकाएं	nayikae
नायिकाओं	nayikaon
नारंग	narang
नारंगी	narangi
नारकोटिक	narcotic
नारा	nara
नाराजगी	narajagi
नाराज़	naraz
नाराज़गी	narajagi
नारायण	narayan
नारायणन	narayanan
नारायणपुर	narayanpur
नारायणमूर्ति	narayanmurti
नारायणी	narayani
नारियल	nariyal
नारियां	nariyan
नारियों	naariyon
नारी	naari
नारीवाद	narivad
नारीवादी	narivadi
नारे	naare
नारों	naaron
नार्कोटिक्स	narcotics
नार्थ	narth
नाल	naal
नालंदा	nalanda
नाला	nala
नालागढ़	nalagarh
नालियों	naliyon
नाली	naali
नाले	nale
नालों	naalon
नाव	naav
नाविक	navik
नावों	navon
नाश	nash
नाशक	nashak
नाश्ता	naashtaa
नासा	nasa
नासिक	nasik
नासिका	naasikaa
नासिर	nasir
नास्तिक	naastik
नास्तिकता	naastikataa
नाहटा	naahataa
नाहर	naahar
नाहिद	nahid
निंजा	ninja
निंदा	ninda
निंबार्क	nimbark
निंबालकर	nimbalkar
निकट	nikat
निकटतम	nikattam
निकटता	nikatataa
निकटवर्ती	nikatvarti
निकम्मे	nikamme
निकल	nikal
निकलकर	nikalkar
निकलता	nikalataa
निकलती	nikalti
निकलते	nikalate
निकलना	nikalna
निकलने	nikalane
निकलवा	nikalwa
निकलवाया	nikalwaya
निकला	nikalaa
निकली	nikali
निकलीं	nikalin
निकले	nikale
निकलेंगे	nikalenge
निकाय	nikaay
निकायों	nikayon
निकारागुआ	nicaragua
निकाल	nikaal
निकालकर	nikalkar
निकालता	nikaalataa
निकालती	nikaalati
निकालना	nikalna
निकालने	nikaalane
निकाला	nikala
निकाली	nikaali
निकाले	nikale
निकालें	nikaalen
निकालेगी	nikaalegi
निकालो	nikaalo
निकास	nikaas
निकासी	nikaasi
निकाह	nikaah
निकिता	nikita
निकुंज	nikunj
निकृष्ट	nikrasht
निकोटीन	nicotine
निकोबार	nicobar
निकोल	nichol
निकोलस	nicholas
निकोलसन	nicholson
निकोल्सन	nicholson
निक्सन	nixon
निखट्टू	nikhattu
निखिल	nikhil
निगम	nigam
निगमित	nigamit
निगमों	nigamon
निगरानी	nigaraani
निगल	nigal
निगलते	nigalate
निगलने	nigalane
निगार	nigar
निगाहों	nigahon
निग्रह	nigrah
निचली	nichali
निचले	nichale
निचाई	nichai
निचे	niche
निचोड़	nichod
निचोड़ा	nichoda
निज	nij
निजता	nijata
निज़ामुद्दीन	nizamuddin
निजात	nijaat
निजाम	nijaam
निजामशाही	nijaamshahi
निजामाबाद	nijamabaad
निजामी	nijaami
निजामुद्दीन	nizamuddin
निजी	niji
निजीकरण	nijikaran
निजीकृत	nijikrat
निजेल	nigel
निडर	nidar
नितंबों	nitambon
नितांत	nitaant
नितिन	nitin
नित्य	nitya
नित्यकर्म	nityakarm
निदान	nidaan
निदेशकों	nideshakon
निदेशालय	nideshalay
निधन	nidhan
निधि	nidhi
निधियों	nidhiyon
निधी	nidhi
निपटती	nipatati
निपटते	nipatate
निपटने	nipatane
निपटा	nipta
निपटाना	niptaana
निपटारे	niptaare
निपल्स	nipples
निपुण	nipun
निपुणता	nipunta
निप्पल	nipple
निबंध	nibandh
निबंधकार	nibandhkar
निबंधों	nibandhon
निभा	nibha
निभाई	nibhaai
निभाए	nibhae
निभाता	nibhaata
निभाती	nibhaati
निभाते	nibhaate
निभाना	nibhaana
निभाने	nibhaane
निभानेवाली	nibhanewali
निभाया	nibhaaya
निभाये	nibhaaye
निमंत्रण	nimantran
निमग्न	nimagn
निमाड़	nimaad
निमोनिया	pneumonia
निम्न	nimna
निम्नतम	nimnatam
निम्नलिखित	nimnalikhit
निम्नवर्गीय	nimnavargeeya
निम्नानुसार	nimnanusar
निम्मी	nimmi
निम्रत	nimrat
नियंत्रक	niyantrak
नियंत्रण	niyantran
नियंत्रित	niyantrit
नियत	niyat
नियति	niyati
नियम	niyam
नियमन	niyaman
नियमपूर्वक	niyampurvak
नियमानुकूल	niyamaanukul
नियमानुसार	niyamanusar
नियमावली	niyamaavali
नियमित	niyamit
नियमों	niyamon
नियाग्रा	niagara
नियाज़ोव	niyaajov
नियामक	niyamak
नियामकीय	niyaamkeey
नियुक्त	niyukt
नियुक्ति	niyukti
नियुक्तियां	niyuktiyaan
नियॉन	neon
नियोक्ताओं	niyoktaaon
नियोजन	niyojan
नियोजित	niyojit
निरंकार	nirankar
निरंकुश	nirankush
निरंकुशता	nirankushata
निरंजन	niranjan
निरंतर	nirantar
निरंतरता	nirantarata
निरर्थक	nirarthak
निरस्त	nirast
निरा	nira
निराकरण	niraakaran
निराकार	niraakaar
निराधार	niraadhaar
निरापद	niraapad
निराला	niraalaa
निराश	niraash
निराशजनक	niraashjanak
निराशा	niraashaa
निराशाजनक	niraashaajanak
निराहार	niraahaar
निरीक्षक	nirikshak
निरीक्षण	nirikshan
निरुत्तर	niruttar
निरूपण	nirupan
निरूपा	nirupa
निरूपित	nirupit
निरोग	nirog
निरोध	nirodh
निरोधक	nirodhak
निरोधकों	nirodhakon
निरोधी	nirodhi
निर्गत	nirgat
निर्गम	nirgam
निर्गुंडी	nirgundi
निर्गुण	nirgun
निर्जन	nirjan
निर्जल	nirjal
निर्जलीकरण	nirjalikaran
निर्जीव	nirjiv
निर्णय	nirnay
निर्णयन	nirnayan
निर्णयों	nirnayon
निर्णायक	nirnayak
निर्दय	nirday
निर्दयता	nirdayata
निर्दयतापूर्वक	nirdayataapurvak
निर्दलीय	nirdaliy
निर्दिष्ट	nirdisht
निर्देश	nirdesh
निर्देशक	nirdeshak
निर्देशकीय	nirdeshakiy
निर्देशकों	nirdeshakon
निर्देशन	nirdeshan
निर्देशित	nirdeshit
निर्देशों	nirdeshon
निर्दोष	nirdosh
निर्धन	nirdhan
निर्धनता	nirdhanataa
निर्धारक	nirdhaarak
निर्धारकों	nirdhaarakon
निर्धारण	nirdharan
निर्बल	nirbal
निर्भय	nirbhay
निर्भयता	nirbhayata
निर्भर	nirbhar
निर्भरता	nirbharataa
निर्भीक	nirbhik
निर्मम	nirmam
निर्मल	nirmal
निर्मला	nirmala
निर्मली	nirmali
निर्माण	nirman
निर्माणाधीन	nirmaanaadhin
निर्माणों	nirmanon
निर्माता	nirmata
निर्माताओं	nirmataon
निर्मात्री	nirmatri
निर्मित	nirmit
निर्मूलन	nirmulan
निर्मोचन	nirmochan
निर्मोही	nirmohi
निर्यात	niryat
निर्यातक	niryatak
निर्यातकों	niryatakon
निर्वस्त्र	nirvastra
निर्वहन	nirvahan
निर्वाचन	nirvachan
निर्वाचित	nirvachit
निर्वाण	nirvaan
निर्वात	nirvaat
निर्वासन	nirvasan
निर्वासित	nirvasit
निर्वासितों	nirvasiton
निर्वाह	nirvaah
निर्वाहन	nirvaahan
निर्विरोध	nirvirodh
निर्विवाद	nirvivaad
निर्विवादित	nirvivaadit
निलंबन	nilamban
निलंबित	nilambit
निलय	nilay
निलेश	nilesh
निलोफर	nilofer
निवर्तमान	nivartman
निवारक	nivaarak
निवारणार्थ	nivaaranaarth
निवास	nivaas
निवासरत	nivaasarat
निवासिनी	nivaasini
निवासियों	nivaasiyon
निवासी	nivaasi
निविदा	nividaa
निवृत	nivrit
निवृत्त	nivritt
निवृत्ति	nivritti
निवेदक	nivedak
निवेदन	nivedan
निवेदित	nivedit
निवेदिता	nivedita
निशंक	nishank
निशस्त्रीकरण	nishastrikaran
निशा	nisha
निशांत	nishant
निशान	nishan
निशाना	nishaanaa
निशानियां	nishaniyan
निशानियों	nishaaniyon
निशानी	nishaani
निशाने	nishane
निशानेबाजी	nishaanebaaji
निशिकांत	nishikant
निशुल्क	nishulk
निश्चय	nishchay
निश्चित	nishchit
निषाद	nishaad
निषादों	nishaadon
निषिद्ध	nishiddha
निषेचन	nishechan
निषेचित	nishechit
निषेध	nishedh
निषेधाज्ञा	nishedhaadnyaa
निषेधात्मक	nishedhaatmak
निष्कर्ष	nishkarsh
निष्कर्षों	nishkarshon
निष्कासन	nishkaasan
निष्कासित	nishkaasit
निष्क्रमण	nishkraman
निष्क्रिय	nishkriya
निष्क्रियता	nishkriyataa
निष्ठा	nishtha
निष्ठाओं	nishthaaon
निष्ठावान	nishthaavaan
निष्पक्ष	nishpaksha
निष्पक्षता	nishpakshataa
निष्पादन	nishpaadan
निष्पादित	nishpaadit
निष्प्रभावी	nishprabhaavi
निष्प्रयोजन	nishprayojan
निष्प्राण	nishpraan
निष्फल	nishfal
निसंदेह	nisandeh
निसर्ग	nisarg
निस्तारण	nistaaran
निस्संतान	nissantaan
निस्संदेह	nissandeh
निहत्थे	nihatthe
निहायत	nihaayat
निहारते	nihaarate
निहारने	nihaarane
निहाल	nihal
निहालपुर	nihalpur
निहित	nihit
निहितार्थ	nihitaarth
नींबू	nimbu
नींव	neenv
नीच	nich
नीचा	neecha
नीची	nichi
नीचे	niche
नीडल	needle
नीता	neeta
नीतिनिर्धारण	nitinirdhaaran
नीतियां	nitiyaan
